All-Defensive Selections by Player | Basketball-Reference.com (fetched 2026-07-18)

| Rk | Player | Tot | 1st | 2nd | Tot | 1st | 2nd | Tot |
| 1 | Tim Duncan | 15 | 8 | 7 | 15 | 0 | 0 | 0 |
| 2 | Kobe Bryant | 12 | 9 | 3 | 12 | 0 | 0 | 0 |
| 3 | Kevin Garnett | 12 | 9 | 3 | 12 | 0 | 0 | 0 |
| 4 | Kareem Abdul-Jabbar | 11 | 5 | 6 | 11 | 0 | 0 | 0 |
| 5 | Bobby Jones | 11 | 8 | 1 | 9 | 2 | 0 | 2 |
| 6 | Scottie Pippen | 10 | 8 | 2 | 10 | 0 | 0 | 0 |
| 7 | Rudy Gobert | 9 | 8 | 1 | 9 | 0 | 0 | 0 |
| 8 | Draymond Green | 9 | 5 | 4 | 9 | 0 | 0 | 0 |
| 9 | Dennis Johnson | 9 | 6 | 3 | 9 | 0 | 0 | 0 |
| 10 | Michael Jordan | 9 | 9 | 0 | 9 | 0 | 0 | 0 |
| 11 | Jason Kidd | 9 | 4 | 5 | 9 | 0 | 0 | 0 |
| 12 | Hakeem Olajuwon | 9 | 5 | 4 | 9 | 0 | 0 | 0 |
| 13 | Chris Paul | 9 | 7 | 2 | 9 | 0 | 0 | 0 |
| 14 | Gary Payton | 9 | 9 | 0 | 9 | 0 | 0 | 0 |
| 15 | Bruce Bowen | 8 | 5 | 3 | 8 | 0 | 0 | 0 |
| 16 | Michael Cooper | 8 | 5 | 3 | 8 | 0 | 0 | 0 |
| 17 | John Havlicek | 8 | 5 | 3 | 8 | 0 | 0 | 0 |
| 18 | David Robinson | 8 | 4 | 4 | 8 | 0 | 0 | 0 |
| 19 | Dennis Rodman | 8 | 7 | 1 | 8 | 0 | 0 | 0 |
| 20 | Norm Van Lier | 8 | 3 | 5 | 8 | 0 | 0 | 0 |
| 21 | Walt Frazier | 7 | 7 | 0 | 7 | 0 | 0 | 0 |
