All-Star Game Selections by Player | Basketball-Reference.com

Find any player or team from any Reference site with our new cross-sport search engine. Only on Sports-Reference.com.

Awards Menu

# All-Star Game Selections by Player

## 538 Players

538 Players Table

| Rk | Player | Tot | NBA | ABA |
| --- | --- | --- | --- | --- |
| 1 | LeBron James | 22 | 22 | 0 |
| 2 | Kareem Abdul-Jabbar | 19 | 19 | 0 |
| 3 | Kobe Bryant | 18 | 18 | 0 |
| 4 | Kevin Durant | 16 | 16 | 0 |
| 5 | Julius Erving | 16 | 11 | 5 |
| 6 | Tim Duncan | 15 | 15 | 0 |
| 7 | Kevin Garnett | 15 | 15 | 0 |
| 8 | Shaquille O'Neal | 15 | 15 | 0 |
| 9 | Michael Jordan | 14 | 14 | 0 |
| 10 | Karl Malone | 14 | 14 | 0 |
| 11 | Dirk Nowitzki | 14 | 14 | 0 |
| 12 | Jerry West | 14 | 14 | 0 |
| 13 | Wilt Chamberlain | 13 | 13 | 0 |
| 14 | Bob Cousy | 13 | 13 | 0 |
| 15 | John Havlicek | 13 | 13 | 0 |
| 16 | Moses Malone | 13 | 12 | 1 |
| 17 | Dwyane Wade | 13 | 13 | 0 |
| 18 | Rick Barry | 12 | 8 | 4 |
| 19 | Larry Bird | 12 | 12 | 0 |
| 20 | Stephen Curry | 12 | 12 | 0 |
| 21 | George Gervin | 12 | 9 | 3 |
| 22 | Elvin Hayes | 12 | 12 | 0 |
| 23 | Magic Johnson | 12 | 12 | 0 |
| 24 | Hakeem Olajuwon | 12 | 12 | 0 |
| 25 | Chris Paul | 12 | 12 | 0 |
| 26 | Oscar Robertson | 12 | 12 | 0 |
| 27 | Bill Russell | 12 | 12 | 0 |
| 28 | Dolph Schayes | 12 | 12 | 0 |
| 29 | Isiah Thomas | 12 | 12 | 0 |
| 30 | Charles Barkley | 11 | 11 | 0 |
| 31 | Elgin Baylor | 11 | 11 | 0 |
| 32 | Chris Bosh | 11 | 11 | 0 |
| 33 | Patrick Ewing | 11 | 11 | 0 |
| 34 | Artis Gilmore | 11 | 6 | 5 |
| 35 | James Harden | 11 | 11 | 0 |
| 36 | Allen Iverson | 11 | 11 | 0 |
| 37 | Bob Pettit | 11 | 11 | 0 |
| 38 | Ray Allen | 10 | 10 | 0 |
| 39 | Giannis Antetokounmpo | 10 | 10 | 0 |
| 40 | Carmelo Anthony | 10 | 10 | 0 |
| 41 | Paul Arizin | 10 | 10 | 0 |
